name,meanRngeFlt,hue,sat,meanG,integrated density,medianG,medLum,meanLum
aloo parantha 2.jpg',23.07631797,0.430089462,0.234951337,173.164,43204479,186,148,148.8
aloo paratha.jpg',27.33090885,0.279677085,0.365887117,143.231,35879358,137,92,102.479
aloo_bonda.jpg',16.76806533,0.253570957,0.411715061,91.646,22911576,87,154,138.477
aloo_methi.jpg',36.01391467,0.249046403,0.555182851,133.921,33480310,142,84,97.477
aloo_pakora.jpg',26.133536,0.207206178,0.541180136,87.462,21865557,76,107,106.608
aloo_parantha.jpg',35.89977467,0.164257439,0.510528851,97.561,24390141,99,123,122.214
Aloo-Gutke.jpg',29.09598267,0.297646836,0.611803772,117.645,29411324,115,202,170.357
alu cholay.jpg',22.21770267,0.325786189,0.297339136,167.373,41843185,199,99,105.573
baingan-bharta.jpg',47.55262133,0.192779498,0.582434014,98.573,24643160,90,119,130.081
batata-nu-shaak.jpg',20.0562,0.101813169,0.679792781,123.947,30986774,106,84,107.801
beef-bihari-kabab.jpg',27.3276513,0.085687345,0.556924191,103.922,25928626,80,131,133.359
bhel_puri.jpg',34.67534133,0.212051209,0.541338374,124.094,31023432,117,110,116.127
bhindi masala 2.jpg',22.91850933,0.145834081,0.571203658,109.702,27425391,97,77,85.8
Bhindi Masala.jpg',44.05549467,0.360284541,0.556490558,82.382,20595406,73,166,155.186
bhutte-ka-kees.jpg',30.73306133,0.131181747,0.472448572,147.15,36787559,155,83,99.565
bisi_bele.jpg',22.55945867,0.133185861,0.539635296,96.219,24054852,83,163,154.703
Bombay-Sandwich.jpg',22.02474667,0.152120246,0.403030286,149.098,37274592,155,108,120.196
bombaySandwhich2.jpg',26.928428,0.266590695,0.38862812,116.583,29145686,101,91,112.591
cauliflowerfry.jpg',18.82048133,0.356147302,0.445040244,115.103,28775720,93,191,175.233
chapati1.jpg',15.85448667,0.288772646,0.20357052,173.762,43440457,189,158,152.615
chapati2.jpg',24.70106133,0.199308584,0.404905542,147.992,36998055,151,82,103.091
chicken 65.jpg',23.261684,0.203236006,0.563730188,107.389,26847370,90,121,119.593
chicken biryani.jpg',42.54352533,0.137712721,0.54396843,110.583,27645745,110,179,177.167
chicken_chettinad.jpg',23.052324,0.114000517,0.751203452,169.566,42476159,168,141,145.239
chicken_frankie.jpg',20.77220667,0.291052721,0.307287623,139.92,34910008,130,72,79.059
chicken_karahi.jpg',38.94278824,0.206656534,0.701484929,73.577,18357346,67,74,90.057
Chicken-Frankie2.jpg',14.41671324,0.125797362,0.48560825,87.19,21797463,74,84,110.509
Chicken-Tikka-Masala.jpg',33.33197996,0.127694632,0.583603938,112.785,28196192,88,192,177.618
chickenkarahi.jpg',32.50571276,0.173539981,0.665588988,168.939,42234631,180,77,93.807
chickenKarahi2.jpg',35.772448,0.125992043,0.722675645,87.143,21785637,69,98,120.443
chickenlollipop.jpg',27.21285467,0.138606956,0.475478726,116.13,29032544,88,62,73.102
chickenSalad2.jpg',26.99331733,0.15880528,0.304968531,69.726,17396571,60,158,140.94
chilla.jpg',34.04666533,0.251282581,0.52896077,126.018,31504443,137,132,131.271
chole kulcha.jpg',40.03910667,0.151077746,0.577600785,122.775,30693784,122,168,158.094
daal pakwan 2.jpg',23.13544,0.326396682,0.32206784,155.015,38753834,165,137,125.24
daal pakwan.jpg',27.11485467,0.263049573,0.490919549,118.604,29651110,128,85,89.936
daal_makhani.jpg',27.15535733,0.294175159,0.555380394,87.505,21876352,81,113,123.118
dahi vada.jpg',43.67125467,0.336329232,0.416176079,119.18,29795076,106,107,102.36
dal-bati-churma.jpg',25.13787067,0.244416921,0.733157498,92.241,23060364,94,39,90.161
dhokla.jpg',28.62135467,0.163478454,0.663130828,76.76,19189957,35,116,114.683
dosa.jpg',21.02322244,0.149933358,0.577043142,107.49,26818676,107,175,164.38
dosa3.jpg',21.90264133,0.186335231,0.474804327,154.914,38728601,158,108,130.724
fish amritsari.jpg',22.52652906,0.405799306,0.433770903,132.342,33019453,104,85,99.038
fried rice.jpg',21.21325067,0.262048139,0.583794825,99.221,24805175,86,172,160.766
Garlic-Naan.jpg',33.44987333,0.121765933,0.522121583,148.073,37018268,154,150,152.048
Goan-Prawn-Curry.jpg',18.21319572,0.209762657,0.538279303,145.332,36260357,136,150,152.673
goanPrawnCurry.jpg',19.36924667,0.209893973,0.542220352,145.673,36418366,136,107,117.77
goatcurry.jpg',26.76086533,0.174488052,0.549425292,110.79,27697535,94,156,153.27
goatcurry2.jpg',37.475004,0.216272756,0.520478836,146.158,36539592,142,95,107.593
gobi.jpg',24.61942933,0.165220769,0.653758486,98.076,24518947,89,54,85.556
hakka-noodles.jpg',38.41053867,0.226972412,0.52984086,78.853,19713373,53,207,178.997
idli.jpg',15.01480533,0.192762154,0.364203538,172.283,43070797,200,100,127.203
idli2.jpg',16.69688267,0.152754072,0.538468105,119.866,29966537,87,120,123.508
jadoh.jpg',34.81798,0.335392262,0.503826238,119.445,29861310,107,147,148.87
kadambam.jpg',21.36815498,0.167741242,0.586187495,135.61,33834665,126,166,156.639
kadhi-pakora.jpg',15.84732003,0.120112476,0.62034714,143.201,35871902,151,146,130.959
kadhi-pakora2.jpg',18.39395467,0.304422259,0.618400732,114.223,28555825,125,105,107.813
keema_aloo.jpg',37.30860107,0.195676594,0.515045729,98.916,24728882,95,152,146.829
keemaAloo2.jpg',43.330932,0.230788499,0.516020066,139.344,34696590,139,56,66.082
kerala-fish-curry.jpg',20.27390933,0.223825047,0.458913495,66.002,16500491,58,180,168.822
kerala.jpg',29.93007467,0.172860576,0.394778159,158.601,39650176,170,149,141.598
khandvi.jpg',15.462188,0.264971257,0.460018458,126.356,31589001,128,71,91.996
khichdi.jpg',22.09073467,0.252447313,0.559499393,80.03,20007488,68,183,174.569
korma.jpg',27.209268,0.231507688,0.511537385,160.022,40005538,153,57,73.347
lamb vindaloo.jpg',38.91376086,0.217515956,0.664116199,74.859,18677323,62,54,78.461
lamb vindaloo2.jpg',34.18828876,0.256488602,0.605598737,73.369,18379051,50,100,109.914
lamb-rogan-josh.jpg',35.58539467,0.128362669,0.682148245,106.149,26537183,95,143,129.181
lemonrice.jpg',31.008504,0.330760286,0.505230774,115.19,28797454,122,142,142.39
littiChokha2.jpg',26.45444933,0.157080883,0.618767186,129.45,32362549,119,164,151.745
maash ki daal.jpg',35.225312,0.218515836,0.572092527,137.407,34351758,144,128,132.788
makkaGatka2.jpg',20.709728,0.287797128,0.303517211,132.623,33155719,128,181,173.364
masala_papad.jpg',48.5245,0.259359404,0.392392389,163.212,40803114,170,149,143.518
masalapapad2.jpg',15.44825867,0.194226462,0.392493934,139.312,34827932,144,99,104.087
Matar-Paneer.jpg',30.76270267,0.202582248,0.728203891,91.758,22939574,88,166,150.215
mixed vegetable poha.jpg',30.50329867,0.141111867,0.831981965,122.238,30559546,133,177,167.866
momo 2.jpg',29.696308,0.160378616,0.418574582,162.41,40602399,165,152,126.526
momo.jpg',14.16819733,0.192492752,0.468159176,120.103,30025644,143,171,161.942
monaco-pizza-bites.jpg',25.35314629,0.277365875,0.351766913,156.339,39006517,163,98,108.915
palak-paneer.jpg',29.67006,0.308891767,0.588541537,93.495,23373784,76,119,117.104
paneer bhurji.jpg',31.08568,0.248534239,0.543023324,105.624,26406009,107,159,158.844
pani puri 2.jpg',22.109712,0.192535657,0.488787422,145.564,36391021,144,175,158.446
pani puri.jpg',25.86985867,0.219320482,0.497205777,147.749,36937160,159,114,113.588
patra.jpg',42.656704,0.122916329,0.512015553,108.799,27199706,107,120,133.38
pav_bhaji.jpg',43.10748267,0.145631974,0.624226001,126.941,31735338,113,161,154.564
punj_ratani_daal.jpg',17.95699067,0.319116848,0.325861358,150.197,37549346,153,119,118.628
puri_bhaji.jpg',28.672164,0.125498693,0.602229115,111.724,27931068,109,132,131.952
rajma.jpg',34.64473867,0.30762431,0.398763023,130.219,32554786,129,126,128.222
Rasam.jpg',24.59673733,0.354655328,0.396357392,125.649,31412179,118,78,90.166
red_rice_khichdi.jpg',17.292016,0.386359647,0.397080708,90.641,22660178,79,69,91.152
samosa.jpg',19.31598669,0.145052786,0.666375529,86.184,21589093,66,75,88.427
sarson_ka_saag.jpg',23.79288844,0.379561351,0.567827996,79.758,19939468,65,69,83.838
sarsonKaSaag3.jpg',37.75622933,0.158759849,0.614120621,81.512,20337343,73,128,123.469
shahi paneer.jpg',26.15117301,0.152391945,0.77014934,113.075,28212312,118,131,122.086
Sindhi-Kadhi.jpg',22.94302267,0.249634886,0.648999217,109.439,27359658,112,175,166.887
smilies.jpg',15.78690133,0.283717627,0.401711122,155.444,38860983,158,173,157.919
smilies2.jpg',27.65859185,0.238376883,0.503012739,148.82,37130612,151,106,108.083
springRoll.jpg',18.159388,0.177269031,0.699289089,105.831,26457828,100,161,137.09
sweet-corn-soup.jpg',16.571992,0.344670916,0.516499243,126.686,31671507,136,150,143.595
tandoori_chicken.jpg',34.270284,0.353828313,0.325840613,144.203,36050713,149,163,156.045
thali 2.jpg',37.02666933,0.222963926,0.453308681,147.98,37069101,152,102,106.119
thali northern no meat with sweet.jpg',27.72683867,0.093328377,0.635447211,100.282,25070472,93,142,133.076
thali northern no meat with sweet2.jpg',30.86630933,0.121411265,0.50995512,126.853,31713272,134,83,99.39
thali northern with meat no sweet.jpg',25.34555333,0.37330669,0.363787199,97.569,24392125,82,163,155.984
thali nothern no meat no sweet.png',32.759608,0.222829012,0.453603572,147.897,36974334,152,92,104.621
thali southern no sweet.jpg',30.775716,0.185553948,0.444719028,99.986,24996466,86,92,113.99
thali sweet southern.jpg',39.30077333,0.385135274,0.26677375,112.983,28245808,90,136,130.373
thepla.jpg',19.72660933,0.180696308,0.558428628,123.262,30815467,124,76,83.734
thepla2.jpg',21.68567802,0.175425619,0.676005624,73.401,18313647,67,134,133.458
upma.jpg',24.762612,0.115704392,0.707612725,121.592,30397991,117,120,116.74
Uthappam.jpg',29.17655733,0.276976124,0.41179729,112.176,28044075,114,113,113.847
vada pav.jpg',24.5065157,0.171322109,0.475064785,110.817,27648732,107,147,142.688
veg_pulao.jpg',28.12463733,0.187092592,0.46874929,134.784,33695939,136,,
